#Name	Code
Arsenal FC	ARS
Aston Villa	AST
AFC Bournemouth	BOU
Brighton & Hove Albion	BHA
Burnley FC	BUR
Chelsea FC	CHE
Crystal Palace	CPA
Everton FC	EVE
Leicester City	LEI
Liverpool FC	LIV
Manchester City	MCI
Manchester United	MUN
Newcastle United	NEW
Norwich City	NOR
Sheffield United	SHE
Southampton FC	SOU
Tottenham Hotspur	TOT
Watford FC	WAT
West Ham United	WHU
Wolverhampton	WOL
#Home code	Home score	Visitor code	Visitor score
ARS	3	AST	2
ARS	1	BOU	0
ARS	1	BHA	2
ARS	2	BUR	1
ARS	1	CHE	2
ARS	2	CPA	2
ARS	3	EVE	2
ARS	1	LEI	1
ARS	2	LIV	1
ARS	0	MCI	3
ARS	2	MUN	0
ARS	4	NEW	0
ARS	4	NOR	0
ARS	1	SHE	1
ARS	2	SOU	2
ARS	2	TOT	2
ARS	3	WAT	2
ARS	1	WHU	0
ARS	1	WOL	1
AST	1	ARS	0
AST	1	BOU	2
AST	2	BHA	1
AST	2	BUR	2
AST	1	CHE	2
AST	2	CPA	0
AST	2	EVE	0
AST	1	LEI	4
AST	1	LIV	2
AST	1	MCI	6
AST	0	MUN	3
AST	2	NEW	0
AST	1	NOR	0
AST	0	SHE	0
AST	1	SOU	3
AST	2	TOT	3
AST	2	WAT	1
AST	0	WHU	0
AST	0	WOL	1
BOU	1	ARS	1
BOU	2	AST	1
BOU	3	BHA	1
BOU	0	BUR	1
BOU	2	CHE	2
BOU	0	CPA	2
BOU	3	EVE	1
BOU	4	LEI	1
BOU	0	LIV	3
BOU	1	MCI	3
BOU	1	MUN	0
BOU	1	NEW	4
BOU	0	NOR	0
BOU	1	SHE	1
BOU	0	SOU	2
BOU	0	TOT	0
BOU	0	WAT	3
BOU	2	WHU	2
BOU	1	WOL	2
BHA	2	ARS	1
BHA	1	AST	1
BHA	2	BOU	0
BHA	1	BUR	1
BHA	1	CHE	1
BHA	0	CPA	1
BHA	3	EVE	2
BHA	0	LEI	2
BHA	1	LIV	3
BHA	0	MCI	5
BHA	0	MUN	3
BHA	0	NEW	0
BHA	2	NOR	0
BHA	0	SHE	1
BHA	0	SOU	2
BHA	3	TOT	0
BHA	1	WAT	1
BHA	1	WHU	1
BHA	2	WOL	2
BUR	0	ARS	0
BUR	1	AST	2
BUR	3	BOU	0
BUR	1	BHA	2
BUR	2	CHE	4
BUR	0	CPA	2
BUR	1	EVE	0
BUR	2	LEI	1
BUR	0	LIV	3
BUR	1	MCI	4
BUR	0	MUN	2
BUR	1	NEW	0
BUR	2	NOR	0
BUR	1	SHE	1
BUR	3	SOU	0
BUR	1	TOT	1
BUR	1	WAT	0
BUR	3	WHU	0
BUR	1	WOL	1
CHE	2	ARS	2
CHE	2	AST	1
CHE	0	BOU	1
CHE	2	BHA	0
CHE	3	BUR	0
CHE	2	CPA	0
CHE	4	EVE	0
CHE	1	LEI	1
CHE	1	LIV	2
CHE	2	MCI	1
CHE	0	MUN	2
CHE	1	NEW	0
CHE	1	NOR	0
CHE	2	SHE	2
CHE	0	SOU	2
CHE	2	TOT	1
CHE	3	WAT	0
CHE	0	WHU	1
CHE	2	WOL	0
CPA	1	ARS	1
CPA	1	AST	0
CPA	1	BOU	0
CPA	1	BHA	1
CPA	0	BUR	1
CPA	2	CHE	3
CPA	0	EVE	0
CPA	0	LEI	2
CPA	1	LIV	2
CPA	0	MCI	2
CPA	0	MUN	2
CPA	1	NEW	0
CPA	2	NOR	0
CPA	0	SHE	1
CPA	0	SOU	2
CPA	1	TOT	1
CPA	1	WAT	0
CPA	2	WHU	1
CPA	1	WOL	1
EVE	0	ARS	0
EVE	1	AST	1
EVE	1	BOU	3
EVE	1	BHA	0
EVE	1	BUR	0
EVE	3	CHE	1
EVE	3	CPA	1
EVE	2	LEI	1
EVE	0	LIV	0
EVE	1	MCI	3
EVE	1	MUN	1
EVE	2	NEW	2
EVE	0	NOR	2
EVE	0	SHE	2
EVE	1	SOU	1
EVE	1	TOT	1
EVE	1	WAT	0
EVE	2	WHU	0
EVE	3	WOL	2
LEI	2	ARS	0
LEI	4	AST	0
LEI	3	BOU	1
LEI	0	BHA	0
LEI	2	BUR	1
LEI	2	CHE	2
LEI	3	CPA	0
LEI	2	EVE	1
LEI	0	LIV	4
LEI	0	MCI	1
LEI	0	MUN	2
LEI	5	NEW	0
LEI	1	NOR	1
LEI	2	SHE	0
LEI	1	SOU	2
LEI	2	TOT	1
LEI	2	WAT	0
LEI	4	WHU	1
LEI	0	WOL	0
LIV	3	ARS	1
LIV	2	AST	0
LIV	2	BOU	1
LIV	2	BHA	1
