Results	ARS	AST	BOU	BHA	BUR	CHE	CPA	EVE	LEI	LIV	MCI	MUN	NEW	NOR	SHE	SOU	TOT	WAT	WHU	WOL
Arsenal FC		3-2	1-0	1-2	2-1	1-2	2-2	3-2	1-1	2-1	0-3	2-0	4-0	4-0	1-1	2-2	2-2	3-2	1-0	1-1
Aston Villa	1-0		1-2	2-1	2-2	1-2	2-0	2-0	1-4	1-2	1-6	0-3	2-0	1-0	0-0	1-3	2-3	2-1	0-0	0-1
AFC Bournemouth	1-1	2-1		3-1	0-1	2-2	0-2	3-1	4-1	0-3	1-3	1-0	1-4	0-0	1-1	0-2	0-0	0-3	2-2	1-2
Brighton & Hove Albion	2-1	1-1	2-0		1-1	1-1	0-1	3-2	0-2	1-3	0-5	0-3	0-0	2-0	0-1	0-2	3-0	1-1	1-1	2-2
Burnley FC	0-0	1-2	3-0	1-2		2-4	0-2	1-0	2-1	0-3	1-4	0-2	1-0	2-0	1-1	3-0	1-1	1-0	3-0	1-1
Chelsea FC	2-2	2-1	0-1	2-0	3-0		2-0	4-0	1-1	1-2	2-1	0-2	1-0	1-0	2-2	0-2	2-1	3-0	0-1	2-0
Crystal Palace	1-1	1-0	1-0	1-1	0-1	2-3		0-0	0-2	1-2	0-2	0-2	1-0	2-0	0-1	0-2	1-1	1-0	2-1	1-1
Everton FC	0-0	1-1	1-3	1-0	1-0	3-1	3-1		2-1	0-0	1-3	1-1	2-2	0-2	0-2	1-1	1-1	1-0	2-0	3-2
Leicester City	2-0	4-0	3-1	0-0	2-1	2-2	3-0	2-1		0-4	0-1	0-2	5-0	1-1	2-0	1-2	2-1	2-0	4-1	0-0
Liverpool FC	3-1	2-0	2-1	2-1	1-1	5-3	4-0	5-2	2-1		3-1	2-0	3-1	4-1	2-0	4-0	2-1	2-0	3-2	1-0
Manchester City	3-0	3-0	2-1	4-0	5-0	2-1	2-2	2-1	3-1	4-0		1-2	5-0	5-0	2-0	2-1	2-2	8-0	2-0	0-2
Manchester United	1-1	2-2	5-2	3-1	0-2	4-0	1-2	1-1	1-0	1-1	2-0		4-1	4-0	3-0	2-2	2-1	3-0	1-1	0-0
Newcastle United	0-1	1-1	2-1	0-0	0-0	1-0	1-0	1-2	0-3	1-3	2-2	1-0		0-0	3-0	2-1	1-3	1-1	2-2	1-1
Norwich City	2-2	1-5	1-0	0-1	0-2	2-3	1-1	0-1	1-0	0-1	3-2	1-3	3-1		1-2	0-3	2-2	0-2	0-4	1-2
Sheffield United	1-0	2-0	2-1	1-1	3-0	3-0	1-0	0-1	1-2	0-1	0-1	3-3	0-2	1-0		0-1	3-1	1-1	1-0	1-0
Southampton FC	0-2	2-0	1-3	1-1	1-2	1-4	1-1	1-2	0-9	1-2	1-0	1-1	0-1	2-1	3-1		1-0	2-1	0-1	2-3
Tottenham Hotspur	2-1	3-1	3-2	2-1	5-0	0-2	4-0	1-0	3-0	0-1	2-0	1-1	0-1	2-1	1-1	2-1		1-1	2-0	2-3
Watford FC	2-2	3-0	0-0	0-3	0-3	1-2	0-0	2-3	1-1	3-0	0-4	2-0	2-1	2-1	0-0	1-3	0-0		1-3	2-1
West Ham United	1-3	1-1	4-0	3-3	0-1	3-2	1-2	1-1	1-2	0-2	0-5	2-0	2-3	2-0	1-1	3-1	2-3	3-1		0-2
Wolverhampton	0-2	2-1	1-0	0-0	1-1	2-5	2-0	3-0	0-0	1-2	3-2	1-1	1-1	3-0	1-1	1-1	1-2	2-0	2-0	
